T, <E>,Â <M>, Cv, chi
2.05,-1.70661,0.892533,0.832077,0.588335
2.1,-1.66186,0.868337,0.966697,0.972221
2.3,-1.35354,0.394015,2.12638,100.754
2,-1.74528,0.911082,0.726907,0.390644
2.15,-1.60921,0.834923,1.14399,1.8804
2.2,-1.5458,0.783407,1.4135,4.94283
2.35,-1.26703,0.194812,1.39401,48.7506
2.075, -1.68508, 0.881291, 0.894484, 0.745313
2.125, -1.63682, 0.853244, 1.04681, 1.31744
2.275, -1.41012, 0.555244, 2.29128, 75.186
2.325, -1.30572, 0.266407, 1.67163, 75.4143
2.025, -1.72648, 0.902298, 0.778843, 0.476094
2.175, -1.57913, 0.81239, 1.26916, 2.96067
2.225, -1.50787, 0.742005, 1.63814, 11.4492
2.375, -1.23436, 0.154047, 1.23826, 32.8001
2.25, -1.46723, 0.67809, 1.98427, 30.7012
2.33571, nan, nan , 1.53499, 61.5352
2.30714, nan, nan, 1.99244, 96.2011
2.29286, nan, nan, 2.25745, 102.67
2.32143, nan, nan, 1.7249, 78.6294
